AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0790200,Plainview Police Dept,Wabasha,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0790300,Wabasha Police Dept,Wabasha,2010,0,1,0,0,0,0,0,0,0,0,11,0,33,0,11,57,1,0,0,7,0,32,0,2,12,1,0
MN0800000,Wadena County Sheriff,Wadena,2010,0,0,0,0,0,0,0,0,0,0,8,0,66,0,28,63,3,0,0,6,0,46,0,10,22,3,0
MN0800100,Wadena Police Dept,Wadena,2010,0,0,0,0,0,0,0,0,0,0,3,0,53,0,12,98,4,0,0,3,0,48,0,5,63,4,0
MN0810000,Waseca County Sheriff,Waseca,2010,0,0,0,2,0,1,2,0,0,0,2,0,33,0,28,34,4,1,0,2,0,31,0,3,8,3,0
MN0810100,Janesville Police Dept,Waseca,2010,0,0,0,1,0,1,1,0,0,0,1,0,9,0,3,22,0,0,0,1,0,9,0,1,13,0,0
MN0810200,New Richland Police Dept,Waseca,2010,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0810300,Waseca Police Dept,Waseca,2010,0,0,0,0,0,0,0,0,0,0,8,0,63,0,20,153,10,0,0,8,0,43,0,6,82,4,0
MN0820000,Washington County Sheriff,Washington,2010,0,0,1,8,0,19,19,9,1,3,9,1,291,0,194,887,50,4,3,2,1,249,0,24,65,15,0
MN0820100,Bayport Police Dept,Washington,2010,0,0,0,2,0,1,0,0,0,0,1,0,15,0,6,30,1,0,0,1,0,12,0,1,3,1,0
MN0820200,Forest Lake Police Dept,Washington,2010,0,0,0,0,0,0,0,0,0,0,1,3,116,0,55,439,39,0,0,1,0,98,0,3,64,15,0
MN0820400,Newport Police Dept,Washington,2010,0,1,0,0,0,2,0,0,0,0,0,2,45,0,21,103,10,1,0,0,0,35,0,5,11,4,0
